,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:08,160,"1,339",478,3,15,35.3,167,3.55s,10,358,202,24,16,352,2,91%,0,3,90.5%,324,24,1,10,8,74%,28/38,Bulldogs vs Wests Tigers,Bulldogs,2015
1,48%,22:17,155,"1,494",455,3,24,38.3,263,3.5s,5,354,181,21,20,630,4,89%,3,7,90.1%,301,15,0,18,10,79%,31/39,Bulldogs vs Wests Tigers,Wests Tigers,2015
