,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,20:28,180,"1,550",551,2,27,40.8,88,3.6s,12,414,227,30,21,603,0,60%,3,2,90.9%,371,20,17,4,2,68%,26/38,Raiders vs Warriors,Raiders,2015
1,61%,32:00,195,"1,811",617,4,20,44.2,224,3.36s,12,418,221,20,19,466,1,86%,6,2,87.9%,327,27,18,6,1,63%,26/41,Raiders vs Warriors,Warriors,2015
