,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,27:54,168,"1,727",588,4,36,44.3,254,3.61s,10,377,207,28,14,262,1,90%,4,3,86.3%,295,30,17,10,10,0,0,7,2,72%,28/39,Dragons vs Raiders,Dragons,2018
1,46%,23:46,151,"1,378",424,5,30,39.4,114,3.09s,11,349,201,19,16,439,1,64%,3,5,85.8%,343,36,21,9,13,1,1,8,2,77%,27/35,Dragons vs Raiders,Raiders,2018
