,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,35%,17:40,187,"1,606",620,2,22,36.5,178,3.69s,8,436,243,35,22,490,4,73%,5,9,90%,333,24,1,13,6,73%,32/44,Sharks vs Broncos,Sharks,2015
1,65%,32:49,161,"1,455",557,1,24,36.4,120,3.35s,9,374,196,34,20,522,1,88%,7,2,90.9%,411,22,2,19,11,65%,26/40,Sharks vs Broncos,Broncos,2015
