,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:47,172,"1,623",504,4,9,37.8,153,9,425,233,7,19,371,4,100%,2,8,90.5%,324,16,18,5,0,70%,30/43,Cowboys vs Broncos,Cowboys,2013
1,52%,26:51,163,"1,522",512,5,16,42.3,197,13,376,195,3,16,486,1,69%,2,3,93.9%,371,9,15,9,1,69%,25/36,Cowboys vs Broncos,Broncos,2013
