,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,64%,26:13,171,"1,816",536,10,32,46.6,396,4,363,186,12,22,605,0,100%,1,4,3,91.9%,273,16,8,6,90%,35/39,Rabbitohs vs Knights,Rabbitohs,2014
1,36%,14:44,126,"1,082",437,2,16,36.1,116,6,310,174,7,17,558,2,93%,0,2,4,90.2%,321,32,3,5,83%,25/30,Rabbitohs vs Knights,Knights,2014
