,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:44,161,"1,329",497,1,14,40.3,146,3.64s,6,335,178,17,20,615,1,83%,7,3,82.3%,367,57,1,22,11,6,1,8,0,70%,23/33,Wests Tigers vs Rabbitohs,Wests Tigers,2017
1,57%,30:08,219,"1,734",653,6,57,39.4,219,3.37s,13,437,230,30,21,690,4,62%,2,7,91.7%,288,14,1,12,12,4,0,7,2,73%,32/44,Wests Tigers vs Rabbitohs,Rabbitohs,2017
