,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,27:44,178,"1,596",547,3,29,39.9,160,9,421,221,12,24,560,1,100%,3,5,84.9%,258,24,22,9,1,78%,31/40,Cowboys vs Knights,Cowboys,2014
1,40%,18:29,145,"1,347",492,0,24,36.4,175,11,362,200,11,14,362,1,75%,5,2,87.1%,318,29,18,8,0,59%,22/37,Cowboys vs Knights,Knights,2014
