,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:19,170,"1,677",479,4,48,44.2,207,3.4s,10,391,209,21,20,639,1,38%,5,1,87.2%,355,33,0,19,14,5,8,71%,27/38,Roosters vs Sea Eagles,Roosters,2017
1,51%,27:23,177,"1,806",514,7,33,46.3,242,3.71s,10,401,207,27,21,617,1,43%,4,3,82.4%,304,48,1,17,9,6,7,82%,32/39,Roosters vs Sea Eagles,Sea Eagles,2017
