,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,22:14,141,"1,420",452,3,24,37.4,186,6,360,191,4,22,613,3,56%,1,3,6,89.3%,234,23,5,4,87%,33/38,Sharks vs Wests Tigers,Sharks,2013
1,51%,23:08,113,"1,116",360,4,23,39.9,153,4,286,157,4,14,369,1,80%,0,3,2,90.3%,306,24,9,7,61%,17/28,Sharks vs Wests Tigers,Wests Tigers,2013
