,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,30:01,173,"1,589",540,3,32,43,183,3.63s,7,388,193,11,24,607,1,89%,5,7,90.5%,342,25,0,11,12,6,1,8,0,78%,29/37,Raiders vs Wests Tigers,Raiders,2019
1,48%,27:42,185,"1,634",504,4,25,38,148,3.53s,8,404,224,28,22,566,2,89%,6,7,89.4%,380,32,1,13,14,4,0,8,1,67%,29/43,Raiders vs Wests Tigers,Wests Tigers,2019
