,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,23:06,150,"1,528",480,6,39,43.7,223,3.42s,9,332,176,5,16,529,1,100%,4,3,85.9%,311,43,1,8,7,8,8,80%,28/35,Broncos vs Rabbitohs,Broncos,2018
1,51%,24:02,158,"1,489",528,4,43,42.6,222,3.15s,6,370,217,7,16,498,4,75%,6,4,84.8%,289,39,0,13,10,6,8,74%,26/35,Broncos vs Rabbitohs,Rabbitohs,2018
