,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:25,157,"1,483",586,3,23,39,209,3.88s,2,375,214,16,18,430,3,60%,1,3,3,90.8%,306,25,6,11,9,1,7,0,71%,27/38,Sea Eagles vs Knights,Sea Eagles,2017
1,45%,23:15,146,"1,095",396,1,25,28.8,103,3.37s,5,353,190,5,21,642,1,78%,1,1,4,93.2%,341,23,2,7,8,0,4,4,79%,30/38,Sea Eagles vs Knights,Knights,2017
