,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,29:22,172,"1,605",510,5,33,40.1,132,15,388,215,8,14,406,1,85%,1,6,87.5%,330,32,2,15,6,0,70%,28/40,Sharks vs Eels,Sharks,2014
1,45%,24:02,182,"1,994",613,8,32,51.2,205,9,424,257,7,17,432,0,88%,2,5,83.7%,273,33,0,20,9,1,69%,27/39,Sharks vs Eels,Eels,2014
