,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:18,176,"1,504",507,2,43,36.7,123,18,421,231,10,16,382,2,93%,2,4,84.2%,325,34,1,27,3,66%,27/41,Knights vs Titans,Knights,2014
1,42%,21:13,170,"1,625",628,5,34,43.9,157,16,390,191,16,23,506,2,86%,5,4,84%,340,43,0,22,8,70%,26/37,Knights vs Titans,Titans,2014
