,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,22:39,149,"1,407",429,6,39,38,183,3.42s,9,324,170,9,15,455,1,58%,3,5,86.6%,322,32,1,18,11,3,7,0,68%,25/37,Panthers vs Eels,Panthers,2016
1,54%,26:35,178,"1,604",447,6,32,47.2,176,3.39s,12,408,224,6,20,400,2,33%,3,8,84.2%,277,39,0,13,8,7,8,4,76%,26/34,Panthers vs Eels,Eels,2016
