,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,21:20,169,"1,603",472,2,20,41.1,138,3.68s,19,350,187,18,14,367,2,67%,5,3,86.5%,333,39,13,11,7,8,72%,28/39,Panthers vs Raiders,Panthers,2016
1,57%,28:18,180,"1,633",626,7,39,41.9,156,3.7s,11,364,181,9,15,290,2,70%,0,6,87.1%,298,20,24,12,7,8,64%,25/39,Panthers vs Raiders,Raiders,2016
