,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,30:17,198,"1,727",715,2,35,44.3,119,3.48s,9,456,249,37,22,594,3,83%,3,4,90.7%,369,11,1,27,4,0,82%,32/39,Broncos vs Panthers,Broncos,2015
1,49%,29:06,181,"1,691",661,0,11,47,185,4.01s,17,453,253,39,25,608,1,90%,6,3,89.4%,421,35,0,15,7,1,78%,28/36,Broncos vs Panthers,Panthers,2015
