,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,21:42,140,"1,321",457,1,19,44.1,124,3.94s,8,325,179,8,22,446,1,69%,0,4,10,90.2%,333,29,7,9,7,8,73%,22/30,Sea Eagles vs Cowboys,Sea Eagles,2016
1,56%,27:37,180,"1,647",566,5,29,44.5,140,3.67s,6,422,252,22,18,439,2,33%,1,5,5,90.1%,264,19,10,4,10,8,84%,31/37,Sea Eagles vs Cowboys,Cowboys,2016
