,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:46,183,"1,747",601,7,39,40.6,278,3.37s,10,402,216,25,20,556,3,70%,4,6,89.6%,344,29,1,11,10,9,0,6,1,84%,36/43,Sharks vs Wests Tigers,Sharks,2018
1,49%,26:41,166,"1,449",526,2,29,39.2,162,3.2s,10,359,179,25,21,485,0,91%,5,6,87.9%,376,39,0,13,9,8,1,8,0,81%,30/37,Sharks vs Wests Tigers,Wests Tigers,2018
