,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:51,166,"1,677",484,6,24,45.3,224,3.6s,7,366,193,23,19,536,3,50%,0,6,88%,316,36,7,7,6,7,0,78%,29/37,Sea Eagles vs Warriors,Sea Eagles,2017
1,52%,26:55,168,"1,596",497,6,36,44.4,192,3.43s,4,379,202,34,23,759,3,89%,3,5,91.3%,346,24,9,6,4,7,2,86%,31/36,Sea Eagles vs Warriors,Warriors,2017
