,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:04,181,"1,545",396,3,24,38.6,266,3.33s,7,423,244,24,19,357,3,67%,4,7,86.7%,313,38,10,13,4,1,7,75%,30/40,Panthers vs Raiders,Panthers,2019
1,50%,26:04,148,"1,390",434,5,38,36.6,127,3.77s,8,341,167,8,20,578,1,90%,4,3,90.9%,330,24,9,12,7,0,8,84%,32/38,Panthers vs Raiders,Raiders,2019
