,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,23:11,157,"1,357",366,1,32,35.7,105,3.3s,8,348,171,25,20,613,2,93%,3,4,88%,375,31,3,20,12,5,8,79%,30/38,Broncos vs Sharks,Broncos,2018
1,56%,29:31,198,"1,693",468,3,31,44.6,159,3.33s,13,432,236,48,18,349,1,60%,6,6,88.4%,320,32,0,10,10,9,8,76%,29/38,Broncos vs Sharks,Sharks,2018
