,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,29:15,162,"1,549",550,8,39,43,148,7,397,212,8,21,536,2,100%,0,5,4,89.8%,281,24,8,6,0,94%,34/36,Rabbitohs vs Warriors,Rabbitohs,2014
1,41%,20:19,126,"1,378",428,5,24,41.8,149,6,310,168,7,14,442,0,79%,1,2,3,87.2%,342,39,11,8,1,70%,23/33,Rabbitohs vs Warriors,Warriors,2014
