,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,24:50,167,"1,782",382,5,21,48.2,234,3.92s,8,362,199,20,14,338,75%,7,1,88.2%,335,24,1,21,14,9,1,7,0,70%,26/37,Roosters vs Bulldogs,Roosters,2018
1,54%,29:09,201,"1,480",367,4,24,38,89,3.63s,14,399,222,23,17,580,82%,1,0,90.3%,298,21,0,11,6,9,0,7,2,82%,32/39,Roosters vs Bulldogs,Bulldogs,2018
