,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:27,139,"1,256",397,3,27,33.9,124,3.53s,7,339,185,18,17,546,3,73%,6,1,84.8%,339,41,20,11,12,8,70%,26/37,Roosters vs Sea Eagles,Roosters,2018
1,56%,28:34,180,"1,708",595,6,41,43.8,209,3.38s,10,392,219,23,14,325,2,56%,4,1,87.8%,281,27,12,12,7,8,69%,27/39,Roosters vs Sea Eagles,Sea Eagles,2018
