,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,30:26,183,"1,879",598,6,56,42.7,290,3.24s,10,425,225,7,25,682,3,77%,1,7,9,86.2%,268,20,2,23,8,3,1,7,2,82%,36/44,Broncos vs Bulldogs,Broncos,2019
1,45%,24:54,166,"1,294",326,2,20,41.7,119,3.44s,14,355,192,17,20,571,0,80%,0,8,2,82.4%,352,56,0,19,11,7,0,6,0,81%,25/31,Broncos vs Bulldogs,Bulldogs,2019
