,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,32:20,176,"1,798",685,5,28,43.9,205,8,424,217,6,23,691,0,91%,1,5,3,90.2%,368,19,1,21,9,0,0,83%,34/41,Roosters vs Panthers,Roosters,2014
1,42%,23:25,171,"1,553",598,2,19,37.9,148,15,400,210,21,25,560,1,89%,1,6,5,90.9%,409,28,0,13,6,1,1,85%,35/41,Roosters vs Panthers,Panthers,2014
