,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,37%,18:05,147,"1,261",510,3,27,34.1,110,14,397,225,4,19,525,1,83%,4,6,87.7%,356,32,18,7,76%,28/37,Warriors vs Panthers,Warriors,2013
1,63%,30:48,176,"1,749",602,6,32,42.7,195,11,441,248,16,21,552,2,87%,4,7,88%,307,27,15,8,78%,32/41,Warriors vs Panthers,Panthers,2013
