,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,27:47,176,"1,646",498,6,29,39.2,158,3.78s,18,407,219,45,24,571,3,62%,3,9,88.7%,235,12,0,18,10,5,0,7,81%,34/42,Sea Eagles vs Bulldogs,Sea Eagles,2017
1,43%,20:57,135,"1,088",338,1,12,34,86,3.63s,12,322,172,24,16,458,1,71%,5,3,84.5%,306,29,1,27,12,8,1,7,69%,22/32,Sea Eagles vs Bulldogs,Bulldogs,2017
