,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,23:20,186,"1,567",575,9,34.8,137,9,417,209,12,26,613,2,80%,6,8,86.2%,319,36,0,15,9,69%,31/45,Titans vs Cowboys,Titans,2014
1,58%,32:14,183,"1,583",499,36,35.2,169,11,422,227,10,19,407,1,70%,4,3,93.5%,362,9,1,16,8,60%,27/45,Titans vs Cowboys,Cowboys,2014
