,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,21:47,150,"1,523",443,6,31,42.3,276,3.5s,6,306,164,16,14,332,1,67%,4,6,89.8%,362,32,1,9,15,8,8,0,75%,27/36,Eels vs Titans,Eels,2017
1,59%,31:20,184,"1,487",522,2,31,38.1,186,3.45s,5,433,250,21,25,567,3,56%,6,8,86.2%,282,31,0,14,7,9,7,2,82%,32/39,Eels vs Titans,Titans,2017
