,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,29:34,188,"1,500",446,0,24,31.2,138,3.64s,9,450,244,18,26,528,1,92%,7,5,89.2%,354,30,13,12,8,1,6,1,71%,34/48,Wests Tigers vs Eels,Wests Tigers,2016
1,50%,29:34,181,"1,534",494,1,30,36.5,121,3.86s,8,404,219,15,20,498,0,85%,9,3,90%,352,24,15,13,10,2,7,6,74%,31/42,Wests Tigers vs Eels,Eels,2016
