,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,26:05,173,"1,688",379,4,37,44.4,208,3.53s,6,401,212,12,23,447,2,71%,7,8,88.1%,317,34,1,9,10,8,7,2,84%,32/38,Knights vs Eels,Knights,2019
1,47%,23:07,164,"1,343",325,5,34,37.3,98,3.68s,7,370,209,6,16,425,0,69%,5,1,87.7%,355,37,0,13,10,8,8,1,69%,25/36,Knights vs Eels,Eels,2019
