,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:14,194,"1,701",609,7,38,42.5,130,3.44s,7,430,243,6,17,525,1,82%,8,1,91.7%,300,16,11,7,4,0,7,75%,30/40,Sharks vs Cowboys,Sharks,2018
1,45%,23:06,157,"1,436",489,5,16,43.5,144,3.09s,7,377,205,2,21,510,1,64%,2,5,88.4%,382,38,12,10,8,1,8,76%,25/33,Sharks vs Cowboys,Cowboys,2018
