,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,26:52,166,"1,640",541,4,44,39.1,205,8,383,197,15,20,577,0,76%,4,0,89.6%,403,26,21,10,81%,34/42,Storm vs Titans,Storm,2013
1,53%,30:17,196,"1,732",603,3,26,41.3,191,12,429,227,20,22,718,1,81%,5,2,85.3%,320,44,11,7,76%,32/42,Storm vs Titans,Titans,2013
