,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,25:31,163,"1,519",346,2,24,39,97,3.31s,9,367,187,10,19,564,0,71%,4,1,84.1%,429,55,0,26,9,8,1,1,8,74%,29/39,Panthers vs Sea Eagles,Panthers,2019
1,58%,35:14,211,"1,730",433,2,55,45.5,133,3.83s,15,473,257,14,25,510,1,71%,7,8,87.2%,307,24,1,21,9,7,0,1,7,84%,32/38,Panthers vs Sea Eagles,Sea Eagles,2019
