,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:07,181,"1,634",490,3,31,41.9,208,3.67s,12,373,191,30,19,466,0,73%,8,4,85.6%,328,30,0,25,9,0,74%,29/39,Titans vs Panthers,Titans,2015
1,57%,29:19,185,"1,494",457,4,30,37.4,102,3.54s,19,387,191,35,18,396,1,70%,2,3,86.8%,321,31,1,18,8,1,78%,31/40,Titans vs Panthers,Panthers,2015
