,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:53,216,"1,834",463,6,25,44.7,237,3.43s,6,456,252,22,25,582,4,78%,2,12,91.6%,326,17,13,10,4,8,83%,34/41,Rabbitohs vs Dragons,Rabbitohs,2019
1,46%,26:19,164,"1,469",346,3,17,43.2,111,3.4s,8,367,191,16,20,589,0,60%,5,4,92.8%,414,25,7,10,7,8,71%,24/34,Rabbitohs vs Dragons,Dragons,2019
