,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,20:01,145,"1,376",455,2,13,39.3,128,9,354,182,9,24,642,3,100%,4,6,87.4%,341,30,0,19,11,2,74%,26/35,Dragons vs Rabbitohs,Dragons,2014
1,61%,31:18,173,"1,689",560,4,30,42.2,214,10,390,208,13,15,317,0,100%,2,4,91.2%,301,13,1,16,6,0,65%,26/40,Dragons vs Rabbitohs,Rabbitohs,2014
