,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,25:08,157,"1,197",339,5,39,27.8,175,3.47s,5,358,201,23,17,544,2,71%,0,6,88.3%,272,24,12,10,4,0,8,84%,36/43,Storm vs Raiders,Storm,2018
1,43%,18:58,134,996,282,4,24,32.1,175,3.07s,7,274,142,23,12,333,3,86%,2,3,86.4%,287,39,6,14,14,1,7,71%,22/31,Storm vs Raiders,Raiders,2018
