,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,29:27,222,"1,922",569,3,19,46.9,202,3.21s,8,486,282,5,23,590,3,62%,5,4,89.5%,365,25,18,9,5,0,6,78%,32/41,Bulldogs vs Raiders,Bulldogs,2019
1,51%,30:39,183,"1,707",511,2,25,44.9,180,3.35s,10,391,189,6,25,641,0,79%,8,5,92.3%,394,19,14,9,5,1,7,87%,33/38,Bulldogs vs Raiders,Raiders,2019
