,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,28:42,198,"2,025",610,7,50,54.7,201,2.95s,21,427,238,16,18,511,2,43%,1,2,2,87.3%,262,30,1,8,8,7,0,0,7,1,84%,31/37,Dragons vs Sea Eagles,Dragons,2017
1,42%,20:46,141,"1,392",492,5,30,43.5,159,3.09s,4,324,184,11,15,322,0,50%,0,5,4,79.2%,300,50,0,29,9,9,1,1,6,2,69%,22/32,Dragons vs Sea Eagles,Sea Eagles,2017
