,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:11,162,"1,383",330,4,26,43.2,129,3.57s,6,359,205,16,12,329,1,67%,3,1,89.2%,365,32,12,8,6,0,8,1,75%,24/32,Warriors vs Knights,Warriors,2019
1,51%,27:16,167,"1,688",399,5,32,52.8,157,3.6s,7,382,199,12,23,510,2,67%,5,7,88.6%,318,26,15,4,7,1,8,1,91%,29/32,Warriors vs Knights,Knights,2019
