,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,32:20,204,"2,008",502,6,47,47.8,261,3.25s,21,446,234,9,23,466,0,100%,5,12,88.5%,278,24,12,9,7,7,83%,35/42,Sea Eagles vs Dragons,Sea Eagles,2019
1,42%,23:25,161,"1,452",344,2,24,38.2,164,3.37s,7,362,191,12,22,697,1,83%,5,4,83.5%,385,47,29,8,7,8,82%,31/38,Sea Eagles vs Dragons,Dragons,2019
