,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,26:36,184,"1,784",524,7,26,42.5,217,3.44s,9,396,206,21,19,396,1,100%,6,2,91.5%,279,18,8,5,0,79%,33/42,Warriors vs Wests Tigers,Warriors,2015
1,39%,17:00,136,"1,215",382,4,18,38,97,3.46s,6,303,160,13,17,496,0,46%,5,3,89.8%,335,26,12,10,1,75%,24/32,Warriors vs Wests Tigers,Wests Tigers,2015
