,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,23:38,143,"1,375",450,4,35,45.9,134,3.86s,8,324,173,17,18,514,0,62%,2,4,90.8%,366,18,19,12,1,77%,23/30,Wests Tigers vs Eels,Wests Tigers,2015
1,52%,25:36,177,"1,596",561,3,18,36.3,164,3.74s,10,420,241,17,15,355,1,100%,4,4,85.7%,281,35,12,4,1,73%,32/44,Wests Tigers vs Eels,Eels,2015
