,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,27:42,167,"1,506",426,2,41,39.7,208,12,373,195,17,19,565,93%,3,3,86.6%,336,35,3,17,8,1,74%,28/38,Sea Eagles vs Rabbitohs,Sea Eagles,2014
1,45%,22:39,174,"1,362",454,4,35,32.4,158,12,393,205,12,18,554,86%,6,1,81.2%,254,41,0,18,6,0,71%,30/42,Sea Eagles vs Rabbitohs,Rabbitohs,2014
