,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,27:49,187,"1,744",564,2,23,41.5,219,3.33s,14,436,243,46,21,486,5,83%,3,8,91.2%,270,20,1,6,7,69%,29/42,Titans vs Broncos,Titans,2015
1,39%,17:47,142,"1,400",509,4,20,35.9,144,3.16s,3,288,147,25,15,575,0,75%,3,3,88.6%,351,23,1,22,7,67%,26/39,Titans vs Broncos,Broncos,2015
