,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,29:38,203,"1,808",568,3,33,42,164,16,421,221,4,18,419,0,82%,0,4,3,92.7%,328,21,1,5,6,0,79%,34/43,Titans vs Dragons,Titans,2013
1,39%,18:57,157,"1,421",507,1,21,40.6,143,4,349,180,8,20,557,1,83%,1,7,2,86.4%,370,33,0,25,12,1,74%,26/35,Titans vs Dragons,Dragons,2013
