,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:23,179,"1,329",384,4,27,38,178,3.36s,16,381,206,17,16,451,1,80%,6,3,91.1%,328,17,15,9,8,1,8,2,74%,26/35,Warriors vs Storm,Warriors,2016
1,53%,27:30,162,"1,319",450,1,17,34.7,124,3.69s,11,392,215,17,21,605,2,92%,2,6,87.3%,324,27,20,4,9,0,8,1,89%,34/38,Warriors vs Storm,Storm,2016
