,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:00,165,"1,564",449,5,25,37.2,148,3.56s,10,390,208,23,20,626,2,89%,1,5,4,85.6%,310,31,2,21,6,86%,36/42,Titans vs Bulldogs,Titans,2015
1,47%,23:57,180,"1,649",555,4,31,44.6,154,4.2s,12,391,217,25,16,364,1,82%,0,4,4,89%,317,25,1,14,8,68%,25/37,Titans vs Bulldogs,Bulldogs,2015
