,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,20:27,142,"1,044",445,1,24,36,56,3.61s,5,305,172,20,13,412,0,47%,1,2,81.5%,304,48,21,10,12,1,8,66%,19/29,Bulldogs vs Panthers,Bulldogs,2017
1,59%,29:25,185,"1,681",589,8,48,40,201,3.67s,14,422,233,25,25,556,1,80%,5,10,88.3%,249,24,9,7,7,0,8,86%,36/42,Bulldogs vs Panthers,Panthers,2017
