,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,29:02,182,"1,774",534,7,39,48,181,3.63s,7,404,217,34,22,530,2,71%,7,9,86%,288,31,0,16,6,10,8,2,92%,34/37,Panthers vs Sea Eagles,Panthers,2016
1,48%,26:48,161,"1,512",542,5,31,40.9,186,3.43s,12,390,225,24,14,334,2,67%,4,3,86.3%,327,39,1,13,12,7,7,0,68%,25/37,Panthers vs Sea Eagles,Sea Eagles,2016
