,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:53,161,"1,387",386,3,24,35.6,181,3.56s,4,388,216,31,21,554,3,83%,1,4,8,81.1%,271,40,0,23,13,5,0,7,77%,30/39,Titans vs Roosters,Titans,2017
1,48%,22:58,170,"1,598",438,6,40,42.1,193,3.36s,13,370,209,17,15,320,1,64%,0,5,5,91.5%,313,24,1,5,11,8,1,7,71%,27/38,Titans vs Roosters,Roosters,2017
