,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,24:37,172,"1,536",478,7,33,39.4,114,3.41s,10,362,189,19,16,437,1,62%,2,1,87.6%,319,34,0,11,13,5,7,4,77%,30/39,Dragons vs Cowboys,Dragons,2017
1,50%,24:37,171,"1,529",396,4,34,38.2,192,3.58s,7,360,194,34,17,400,2,67%,1,7,86.3%,308,33,1,16,15,5,7,2,68%,27/40,Dragons vs Cowboys,Cowboys,2017
