,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,29:00,186,"1,846",588,4,32,47.4,298,3.59s,10,410,205,14,24,615,5,85%,7,9,88.4%,289,25,13,8,5,1,6,0,82%,32/39,Roosters vs Wests Tigers,Roosters,2016
1,45%,23:44,154,"1,426",415,3,25,39.6,173,3.63s,9,362,188,7,21,458,3,81%,7,5,88.6%,365,32,15,11,3,0,7,4,69%,25/36,Roosters vs Wests Tigers,Wests Tigers,2016
