,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,24:26,162,"1,348",447,4,30,38.5,100,3.7s,12,365,201,27,17,511,0,67%,1,4,90.8%,426,29,0,14,12,11,8,1,66%,23/35,Rabbitohs vs Cowboys,Rabbitohs,2016
1,58%,33:45,222,"2,140",722,5,29,47.6,274,4.26s,9,532,315,49,26,567,3,67%,5,10,85.9%,286,30,1,17,9,6,8,2,80%,36/45,Rabbitohs vs Cowboys,Cowboys,2016
