,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:16,177,"1,723",582,6,35,39.2,292,3.38s,5,379,213,8,18,431,5,62%,5,10,87.4%,299,23,1,20,14,10,1,7,0,68%,30/44,Storm vs Titans,Storm,2019
1,48%,24:14,157,"1,236",450,0,23,35.3,99,3.69s,12,361,202,8,20,408,1,67%,5,8,88.4%,311,35,0,6,9,10,1,5,1,71%,25/35,Storm vs Titans,Titans,2019
