,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,23:18,156,"1,357",397,5,22,39.9,125,3.46s,9,369,193,25,22,536,1,100%,1,6,4,90.4%,309,20,13,12,5,7,71%,24/34,Roosters vs Bulldogs,Roosters,2017
1,50%,23:18,155,"1,327",431,3,20,39.1,153,3.32s,10,364,197,26,15,451,0,58%,0,5,1,89.4%,287,22,12,8,2,8,79%,27/34,Roosters vs Bulldogs,Bulldogs,2017
