,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Cowboys vs Panthers,2019
1,75:09,Interchange #8,,Cowboys,                   Francis Molo,                   Jason Taumalolo,,Cowboys vs Panthers,2019
2,74:15,Interchange #8,,Panthers,                   Spencer Leniu,                   Mitchell Kenny,,Cowboys vs Panthers,2019
3,74:13,Error,Stephen Crichton,Panthers,,,,Cowboys vs Panthers,2019
4,73:35,Penalty - 2nd Effort,John Asiata,Cowboys,,,,Cowboys vs Panthers,2019
5,72:52,Conversion-Made,Jordan Kahu,Cowboys,,,24-10,Cowboys vs Panthers,2019
6,71:54,Video Referee,Try,Cowboys,,,,Cowboys vs Panthers,2019
7,71:50,Try,Jason Taumalolo,Cowboys,,,22-10,Cowboys vs Panthers,2019
8,71:50,Linebreak,Jason Taumalolo,Cowboys,,,,Cowboys vs Panthers,2019
9,70:30,Penalty - Holding Back,Dean Whare,Panthers,,,,Cowboys vs Panthers,2019
10,70:30,Linebreak,Scott Drinkwater,Cowboys,,,,Cowboys vs Panthers,2019
11,68:48,Interchange - HIA,,Cowboys,                   Coen Hess,                   Tom Opacic,,Cowboys vs Panthers,2019
12,66:37,Error,Kyle Feldt,Cowboys,,,,Cowboys vs Panthers,2019
13,65:56,Penalty - Offside inside 10m,Liam Martin,Panthers,,,,Cowboys vs Panthers,2019
14,65:49,Error,James Fisher-Harris,Panthers,,,,Cowboys vs Panthers,2019
15,64:52,Error,Jake Granville,Cowboys,,,,Cowboys vs Panthers,2019
16,64:01,Interchange - HIA Cleared,,Cowboys,                   Michael Morgan,                   Coen Hess,,Cowboys vs Panthers,2019
17,63:08,Error,Brent Naden,Panthers,,,,Cowboys vs Panthers,2019
18,62:36,Conversion-Made,Nathan Cleary,Panthers,,,18-10,Cowboys vs Panthers,2019
19,62:09,Video Referee,Try,Panthers,,,,Cowboys vs Panthers,2019
20,62:07,Try,Isaah Yeo,Panthers,,,18-8,Cowboys vs Panthers,2019
21,61:57,Kick Bomb,James Maloney,Panthers,,,,Cowboys vs Panthers,2019
22,61:03,Interchange #7,,Panthers,                   James Tamou,                   Reagan Campbell-Gillard,,Cowboys vs Panthers,2019
23,60:01,Conversion-Made,Jordan Kahu,Cowboys,,,18-4,Cowboys vs Panthers,2019
24,59:53,Interchange #6,,Panthers,                   Isaah Yeo,                   Viliame Kikau,,Cowboys vs Panthers,2019
25,59:40,Interchange #7,,Cowboys,                   Scott Bolton,                   Peter Hola,,Cowboys vs Panthers,2019
26,58:22,Try,Kyle Feldt,Cowboys,,,16-4,Cowboys vs Panthers,2019
27,58:21,Interchange #6,,Cowboys,                   Jason Taumalolo,                   Francis Molo,,Cowboys vs Panthers,2019
28,58:14,Linebreak,Kyle Feldt,Cowboys,,,,Cowboys vs Panthers,2019
29,58:01,Error,Brent Naden,Panthers,,,,Cowboys vs Panthers,2019
30,56:48,Penalty - Crowding,Jake Granville,Cowboys,,,,Cowboys vs Panthers,2019
31,55:35,Error,James Maloney,Panthers,,,,Cowboys vs Panthers,2019
32,54:48,Interchange #5,,Cowboys,                   Jake Granville,                   Reuben Cotter,,Cowboys vs Panthers,2019
33,54:44,Line Dropout,James Maloney,Panthers,,,,Cowboys vs Panthers,2019
34,52:57,Penalty - Dangerous Tackle,Brent Naden,Panthers,,,,Cowboys vs Panthers,2019
35,52:35,Interchange #5,,Panthers,                   James Fisher-Harris,                   Spencer Leniu,,Cowboys vs Panthers,2019
36,51:58,Kick Bomb,John Asiata,Cowboys,,,,Cowboys vs Panthers,2019
37,51:41,Interchange - HIA,,Cowboys,                   Jordan McLean,                   Michael Morgan,,Cowboys vs Panthers,2019
38,50:30,Penalty - Obstruction,Reagan Campbell-Gillard,Panthers,,,,Cowboys vs Panthers,2019
39,49:24,Penalty - Crowding,Kyle Feldt,Cowboys,,,,Cowboys vs Panthers,2019
40,47:13,Interchange #4,,Panthers,                   Wayde Egan,                   Moses Leota,,Cowboys vs Panthers,2019
41,46:33,Interchange #4,,Cowboys,                   Peter Hola,                   Jason Taumalolo,,Cowboys vs Panthers,2019
42,46:17,Kick Bomb,Nathan Cleary,Panthers,,,,Cowboys vs Panthers,2019
43,44:47,Error,Jason Taumalolo,Cowboys,,,,Cowboys vs Panthers,2019
44,44:01,Error,Nathan Cleary,Panthers,,,,Cowboys vs Panthers,2019
45,43:15,Kick Bomb,Michael Morgan,Cowboys,,,,Cowboys vs Panthers,2019
46,40:34,Penalty - Hand in the Ruck,Viliame Kikau,Panthers,,,,Cowboys vs Panthers,2019
47,40:00,Conversion-Made,Jordan Kahu,Cowboys,,,12-4,Cowboys vs Panthers,2019
48,39:30,Try,Murray Taulagi,Cowboys,,,10-4,Cowboys vs Panthers,2019
49,38:17,Error,James Maloney,Panthers,,,,Cowboys vs Panthers,2019
50,36:07,Penalty - Slow Peel,Liam Martin,Panthers,,,,Cowboys vs Panthers,2019
51,34:18,Penalties - Other,Kyle Feldt,Cowboys,,,,Cowboys vs Panthers,2019
52,34:07,Conversion-Missed,Nathan Cleary,Panthers,,,,Cowboys vs Panthers,2019
53,33:02,Interchange #3,,Cowboys,                   Coen Hess,                   Jordan McLean,,Cowboys vs Panthers,2019
54,32:36,Try,Brian To'o,Panthers,,,6-4,Cowboys vs Panthers,2019
55,32:35,Linebreak,Brian To'o,Panthers,,,,Cowboys vs Panthers,2019
56,31:46,Penalty - Flop,Reuben Cotter,Cowboys,,,,Cowboys vs Panthers,2019
57,31:04,Kick Bomb,John Asiata,Cowboys,,,,Cowboys vs Panthers,2019
58,29:55,Interchange #2,,Cowboys,                   Reuben Cotter,                   Jake Granville,,Cowboys vs Panthers,2019
59,29:33,Error,Moses Leota,Panthers,,,,Cowboys vs Panthers,2019
60,28:31,Penalty - Offside inside 10m,Jordan McLean,Cowboys,,,,Cowboys vs Panthers,2019
61,27:40,Interchange #1,,Cowboys,                   Francis Molo,                   Scott Bolton,,Cowboys vs Panthers,2019
62,27:34,Interchange #3,,Panthers,                   Spencer Leniu,                   James Fisher-Harris,,Cowboys vs Panthers,2019
63,27:12,Linebreak,Jason Taumalolo,Cowboys,,,,Cowboys vs Panthers,2019
64,26:30,Interchange #2,,Panthers,                   Moses Leota,                   Isaah Yeo,,Cowboys vs Panthers,2019
65,25:54,Kick Bomb,Michael Morgan,Cowboys,,,,Cowboys vs Panthers,2019
66,24:15,Linebreak,Reagan Campbell-Gillard,Panthers,,,,Cowboys vs Panthers,2019
67,23:39,Error,Jordan Kahu,Cowboys,,,,Cowboys vs Panthers,2019
68,22:21,Error,Stephen Crichton,Panthers,,,,Cowboys vs Panthers,2019
69,22:13,Interchange #1,,Panthers,                   Reagan Campbell-Gillard,                   James Tamou,,Cowboys vs Panthers,2019
70,21:57,Kick Bomb,John Asiata,Cowboys,,,,Cowboys vs Panthers,2019
71,20:28,Penalty - Obstruction,James Tamou,Panthers,,,,Cowboys vs Panthers,2019
72,19:27,Error,Tom Opacic,Cowboys,,,,Cowboys vs Panthers,2019
73,17:13,Kick Bomb,Nathan Cleary,Panthers,,,,Cowboys vs Panthers,2019
74,15:22,Kick Bomb,James Maloney,Panthers,,,,Cowboys vs Panthers,2019
75,13:04,Error,James Fisher-Harris,Panthers,,,,Cowboys vs Panthers,2019
76,12:45,Line Dropout,Kyle Feldt,Cowboys,,,,Cowboys vs Panthers,2019
77,10:37,Error,John Asiata,Cowboys,,,,Cowboys vs Panthers,2019
78,09:37,Conversion-Made,Jordan Kahu,Cowboys,,,6-0,Cowboys vs Panthers,2019
79,08:09,Try,Kyle Feldt,Cowboys,,,4-0,Cowboys vs Panthers,2019
80,08:08,Linebreak,Kyle Feldt,Cowboys,,,,Cowboys vs Panthers,2019
81,07:19,Error,Brian To'o,Panthers,,,,Cowboys vs Panthers,2019
82,06:03,Error,James Maloney,Panthers,,,,Cowboys vs Panthers,2019
83,03:45,Error,Shane Wright,Cowboys,,,,Cowboys vs Panthers,2019
84,02:37,Penalty - Offside Downtown,James Tamou,Panthers,,,,Cowboys vs Panthers,2019
85,00:00,KICK OFF,,,,,,Cowboys vs Panthers,2019
