,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,27:28,178,"1,563",437,5,38,40.1,134,3.79s,11,453,259,19,28,571,1,64%,5,10,90.3%,355,19,19,7,6,8,2,85%,33/39,Cowboys vs Panthers,Cowboys,2019
1,54%,32:15,178,"1,557",488,2,19,42.1,191,3.56s,11,437,240,25,22,405,2,77%,4,2,87.6%,381,38,16,12,8,8,0,70%,26/37,Cowboys vs Panthers,Panthers,2019
