,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:33,172,"1,512",453,4,22,40.9,235,3.13s,10,410,232,32,19,475,4,83%,6,7,85%,329,31,1,27,7,8,1,8,84%,31/37,Rabbitohs vs Sharks,Rabbitohs,2018
1,51%,27:39,167,"1,403",373,2,31,39,130,3.66s,14,377,204,16,18,411,3,80%,4,5,89.7%,321,23,1,14,10,8,1,7,78%,28/36,Rabbitohs vs Sharks,Sharks,2018
