,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,27:25,200,"1,856",625,3,15,45.3,221,4.03s,14,439,238,28,19,559,0,85%,5,3,89.2%,395,29,0,19,4,63%,26/41,Eels vs Warriors,Eels,2015
1,54%,32:12,197,"1,682",566,3,29,40.1,141,4.13s,11,441,233,27,23,697,2,55%,7,2,90.8%,367,15,1,22,5,79%,33/42,Eels vs Warriors,Warriors,2015
